;distancia;desnivel;velocidad;corredor;equipo;uci;tiempo;puesto;edad;anio;carrera;etapa;ganador;fecha;categoria;nombre_carr;Coef;cronoescalada;prologo;minutos;segundos;minutos_decimales;rating_carrera;color_carrera
0;8.6;48;58.748;ganna filippo;INEOS Grenadiers;100;0:08:47;1;24;2021;Giro d'Italia;1;58.748;2021-05-08;0;Giro d'Italia;2.98;No;No;8.0;47.0;8.78;99;#006400
1;8.6;48;56.291;moscon gianni;INEOS Grenadiers;0;0:23;10;27;2021;Giro d'Italia;1;58.748;2021-05-08;0;Giro d'Italia;1.612;No;No;9.0;10.0;9.17;76;#ADFF2F
2;8.6;48;53.379;torres albert;Movistar Team;0;0:53;100;31;2021;Giro d'Italia;1;58.748;2021-05-08;0;Giro d'Italia;-0.009;No;No;9.0;40.0;9.67;49;#FF0000
3;8.6;48;53.287;taaramae rein;Intermarche - Wanty - Gobert Materiaux;0;0:54;101;34;2021;Giro d'Italia;1;58.748;2021-05-08;0;Giro d'Italia;-0.06;No;No;9.0;41.0;9.68;49;#FF0000
4;8.6;48;53.287;albanese vincenzo;EOLO-Kometa;0;0:54;102;24;2021;Giro d'Italia;1;58.748;2021-05-08;0;Giro d'Italia;-0.06;No;No;9.0;41.0;9.68;49;#FF0000
5;8.6;48;53.196;hamilton chris;Team DSM;0;0:55;103;25;2021;Giro d'Italia;1;58.748;2021-05-08;0;Giro d'Italia;-0.11;No;No;9.0;42.0;9.7;48;#FF0000
6;8.6;48;53.196;buchmann emanuel;BORA - hansgrohe;0;0:55;104;28;2021;Giro d'Italia;1;58.748;2021-05-08;0;Giro d'Italia;-0.11;No;No;9.0;42.0;9.7;48;#FF0000
9;8.6;48;53.105;ciccone giulio;Trek - Segafredo;0;0:56;107;26;2021;Giro d'Italia;1;58.748;2021-05-08;0;Giro d'Italia;-0.161;No;No;9.0;43.0;9.72;47;#FF0000
11;8.6;48;53.014;benedetti cesare;BORA - hansgrohe;0;0:57;109;33;2021;Giro d'Italia;1;58.748;2021-05-08;0;Giro d'Italia;-0.212;No;No;9.0;44.0;9.73;46;#FF0000
12;8.6;48;56.189;vlasov aleksandr;Astana - Premier Tech;0;0:24;11;25;2021;Giro d'Italia;1;58.748;2021-05-08;0;Giro d'Italia;1.556;No;No;9.0;11.0;9.18;75;#ADFF2F
15;8.6;48;52.923;merlier tim;Alpecin-Fenix;0;0:58;112;28;2021;Giro d'Italia;1;58.748;2021-05-08;0;Giro d'Italia;-0.262;No;No;9.0;45.0;9.75;45;#FF0000
17;8.6;48;52.923;janssens jimmy;Alpecin-Fenix;0;0:58;114;31;2021;Giro d'Italia;1;58.748;2021-05-08;0;Giro d'Italia;-0.262;No;No;9.0;45.0;9.75;45;#FF0000
18;8.6;48;52.923;consonni simone;Cofidis;0;0:58;115;26;2021;Giro d'Italia;1;58.748;2021-05-08;0;Giro d'Italia;-0.262;No;No;9.0;45.0;9.75;45;#FF0000
19;8.6;48;52.833;bouchard geoffrey;AG2R Citroen Team;0;0:59;116;29;2021;Giro d'Italia;1;58.748;2021-05-08;0;Giro d'Italia;-0.313;No;No;9.0;46.0;9.77;44;#FF0000
20;8.6;48;52.833;pronskiy vadim;Astana - Premier Tech;0;0:59;117;22;2021;Giro d'Italia;1;58.748;2021-05-08;0;Giro d'Italia;-0.313;No;No;9.0;46.0;9.77;44;#FF0000
23;8.6;48;55.986;bettiol alberto;EF Education - Nippo;0;0:26;12;27;2021;Giro d'Italia;1;58.748;2021-05-08;0;Giro d'Italia;1.443;No;No;9.0;13.0;9.22;73;#ADFF2F
24;8.6;48;52.653;vermeersch gianni;Alpecin-Fenix;0;1:01;120;28;2021;Giro d'Italia;1;58.748;2021-05-08;0;Giro d'Italia;-0.413;No;No;9.0;48.0;9.8;43;#FF0000
