;Equipo;Corredor;Coef_historico;N_carreras;uci;Rating_historico;Color_gauge;victorias;victorias_pct;podiums;podiums_pct;top10;top10_pct;numero_cri;Coef_historico_old;N_carreras_old;uci_old;Rating_historico_old;Color_gauge_old;victorias_old;victorias_pct_old;podiums_old;podiums_pct_old;top10_old;top10_pct_old;numero_cri_old;Ranking;nacimiento
0;UAE Team Emirates - XRG;pogacar tadej;1.98;26;1443;97.0;#006400;7.0;26.92;14.0;53.85;22.0;84.62;26.0;1.98;26;1443;97.0;#006400;7.0;26.92;14.0;53.85;22.0;84.62;26.0;1;1998-09-21
1;INEOS Grenadiers;ganna filippo;1.913;63;3802;95.0;#006400;26.0;41.27;42.0;66.67;54.0;85.71;63.0;1.913;63;3802;95.0;#006400;26.0;41.27;42.0;66.67;54.0;85.71;63.0;2;1996-07-25
2;Soudal Quick-Step;evenepoel remco;1.91;39;3278;95.0;#006400;16.0;41.03;30.0;76.92;36.0;92.31;39.0;1.91;39;3278;95.0;#006400;16.0;41.03;30.0;76.92;36.0;92.31;39.0;3;2000-01-25
3;Red Bull - BORA - hansgrohe;roglic primoz;1.9;60;2826;95.0;#006400;19.0;31.67;35.0;58.33;50.0;83.33;60.0;1.9;60;2826;95.0;#006400;19.0;31.67;35.0;58.33;50.0;83.33;60.0;4;1989-10-29
4;INEOS Grenadiers;tarling joshua;1.837;12;905;94.0;#006400;5.0;41.67;9.0;75.0;11.0;91.67;12.0;1.837;12;905;94.0;#006400;5.0;41.67;9.0;75.0;11.0;91.67;12.0;5;2004-02-15
5;Team Visma | Lease a Bike;van aert wout;1.77;25;1735;93.0;#006400;8.0;32.0;16.0;64.0;21.0;84.0;25.0;1.77;25;1735;93.0;#006400;8.0;32.0;16.0;64.0;21.0;84.0;25.0;6;1994-09-15
6;UAE Team Emirates - XRG;almeida joao;1.691;35;805;91.0;#006400;3.0;8.57;11.0;31.43;27.0;77.14;35.0;1.691;35;805;91.0;#006400;3.0;8.57;11.0;31.43;27.0;77.14;35.0;7;1998-08-05
7;Groupama - FDJ;kung stefan;1.627;85;2954;90.0;#006400;21.0;24.71;38.0;44.71;62.0;72.94;85.0;1.627;85;2954;90.0;#006400;21.0;24.71;38.0;44.71;62.0;72.94;85.0;8;1993-11-16
8;INEOS Grenadiers;sheffield magnus;1.608;24;423;90.0;#006400;1.0;4.17;10.0;41.67;15.0;62.5;24.0;1.608;24;423;90.0;#006400;1.0;4.17;10.0;41.67;15.0;62.5;24.0;9;2002-04-19
9;INEOS Grenadiers;foss tobias;1.603;30;871;90.0;#006400;3.0;10.0;8.0;26.67;23.0;76.67;30.0;1.603;30;871;90.0;#006400;3.0;10.0;8.0;26.67;23.0;76.67;30.0;10;1997-05-25
